annotation_id,customer_message,support_response,semantic_cluster,human_intent,annotation_confidence,annotation_notes
30,It started in may. 11.1.2,"@142515 Check out the following article and try out the steps it suggestsL: https://t.co/5KootZbxj1

If this does not resolve the issue, let us know via DM which country you are in and who your carrier is, then we can go from there. https://t.co/GDrqU22YpT",2,,,
31,@115858 creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,@117101 Let’s work together on this. How long has this been happening? Do you experience similar behavior with Siri?,3,,,
32,Anybody else experiencing the bug where the letter I turning into a weird set of glyphs? Igate,@127936 That's not the experience we want you have with iOS 11. Follow us to DM and we'll get started. https://t.co/GDrqU22YpT,3,,,
33,Man I’m having the same problem. Thought EYE was alone. Was just about to accept life without ever using the word “I” anymore.,"@118365 We want to take a look into this with you. DM us your current iOS version, and we’ll start there. https://t.co/GDrqU22YpT",3,,,
34,Okay I thought it was just my phone fix this shit with the letter EYE,@123990 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,3,,,
35,hey @115858 get ur shit together so i can type “i” without this stupid problem https://t.co/43iHbkJK6K,@130490 We're here for you. Please DM us the version of iOS you're using and we can go from there together. https://t.co/GDrqU22YpT,3,,,
36,Why does my iPhone randomly capitalise letters? iOS,"@136074 We'd love the chance to look into this with you. Which iOS version are you using on your iPhone? Also, could you give us an example of when you're seeing letters being capitalized?",3,,,
37,For those that have been wondering. why are y’all punishing us for using pronouns!?,@123676 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,3,,,
38,whenever I type the letter “i” it auto corrects to a “a ?” What is going on!????,@123062 Let us help you get this sorted out. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,3,,,
39,"The only keyboard I have is whatever my iPhone came with. It’s occurring in everything: messages, social media, emailing ect.",@118366 We'd like to take a closer look. Send us a DM and we can start there. https://t.co/GDrqU22YpT,3,,,
40,"i.t really sucks that every time i go to type the word i.t, i.t autocorrects so there’s a stupid ass period in the middle of i.t. @115858 what is going on",@134162 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,3,,,
41,Thanks! But it used to be so nice when I could limit the number of episodes downloaded but still have some pre-downloaded for flights n things. Is the setting coming back?,"@121033 While we don't have a direct answer for you today, we’d encourage you to leave feedback at:
https://t.co/9WSVjlVyvt",4,,,
42,thanks. I read the document & as it is a 3-series watch I’ve checked the settings as instructed - they were set correctly Do I need to go through the recalibration process as per a 1-series watch? Why doesn’t Health app just point to same XML field as Activity app?,@136062 Thank you for those details. Have you restarted both your iPhone and your Apple Watch since noticing this? DM us and let us know. https://t.co/GDrqU22YpT,4,,,
43,I have not installed any new appliaction. Anyway automatic application updates are enabled so I cannot determine which of the ones that were installed today might be coincident with the exact time frame when the issue appeared.,@142511 Got it. Let's look into this further via DM. Let us know if you're able to access the Control Center preferences via Settings. https://t.co/GDrqU22YpT,4,,,
44,I need your help! I want to play animal crossing but the app immediately crashes when I open it,"@128371 We want to make sure you are able to play the games you'd like. In order to assist you, we need some information from you. What kind of device are you using? What version of the software is installed? Meet us with this information, here: https://t.co/GDrqU22YpT",4,,,
45,"It’s become too slow ,apps not working properly",@125183 Let's get you back to enjoying your device. What kind of Apple device are you using? https://t.co/GDrqU22YpT,4,,,
46,Does anyone EVER get Apple’s ‘reading list’ to work offline in Safari? What a load of old . Any alternatives that work?,@124688 We'd love to look into this with you. Tell us what happens while trying to access your Reading List while offline.,4,,,
47,i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,@117459 Thanks for reaching out to us. We're happy to help out. We recommend checking out this link: https://t.co/03O2CionXW,4,,,
48,My husband hasn’t updated his MacBook since like 2011... do you think I could update it and be safe?,"@123974 As long as his Mac is compatible, it shouldn't be a problem. Be sure he has a backup. https://t.co/109nnHwfMC",4,,,
49,When i go to upload to social media with a slo-mo or screen shotted picture i am getting a loading circle in the middle of the screen and it never finishes loading. Doesnt allow upload to complete,"@139254 Thank you. Does the issue persist if you restart your device? Also, which software version are you using? You can tap Settings &gt; General &gt; About to locate the software version.",4,,,
50,all of a sudden I am getting emails pushed via apple mail- I’ve had them set as fetch for a long time. Can’t find where to change back to fetch. The only change I have made is software update. HALP! I don’t want all these to push.,"@122014 We can understand not wanting the incoming emails to push through. We'll get to the root cause of this, and find you the information you need.

In order to do so, we have some questions for you. Please meet us in DM with your current iOS and we'll go from there. https://t.co/GDrqU22YpT",4,,,
51,"Depende como responda esto perderán un cliente (+familia) y prescriptor desde hace más de 15 años, usuario de toda la gama",@124301 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,,,
52,"leg dit even uit? Dit is mijn oud e-mail adress/apple id, sinds een recente update krijg ik constant deze melding. Ik heb sinds paar jaar een nieuw e-mail adres en ook een apple id op dit adres. Ik was (nog altijd) het wachtwoord kwijt van het oude e-mail & apple-id",@138153 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,5,,,
53,cuando vais arreglar el problema de la batería con vuestras actualizaciones de IOS? Es de vergüenza,@124305 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,,,
54,Soy sólo yo...o a ustedes también les pasa que a toda hora se les enciende el WIFI del teléfono desde la nueva actualización del iOS ?,@142165 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,,,
55,"Ongelofelijk dat een MacBook Pro al na 2,5 jaar kapot gaat. Als antwoord krijg je dan alle kosten inclusief reparatie zijn voor eigen kosten. Terwijl de winkel al zegt u kan er niks aan doen dat hij stuk is. slechte service apple geenservice macbook pro",@140684 We offer support via Twitter in English. Contact an Advisor for help in your preferred language here: https://t.co/IBIY3vMgPj,5,,,
56,E eu não recebo notificação de nenhum aplicativo,"@138173 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",5,,,
57,"Klucííí... z @115858, co mi to děláte? Safari s #iOS 11.1 na #iPhone8Plus neustále padá 📲🕳 chápu, je podzim 🍏🍂...ale tohle nebaví! 🤨 #Fail",@123840 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,5,,,
58,@115858 Estoy muy decepcionado con la calidad de la compra online. Despues de esperar tanto tiempo para el IPhone X + AppleWatch teneis problemas con el sistema de pago. Muy muy decepcionado !!! Espero que esto no afecte a la fecha de entrega de mi pedido!!!,@138716 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,,,
59,Desde que actualice a iOS 11 mi iPhone se volvió lento. Me recuerda a los viejos Samsung! Que está pasando?,@127761  We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,,,
60,"Bienvenida sea la multi tarea al 3D touch en iphone, gracias newupdate",@117646 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,,,
61,how can i reset security questions? i face this error: We don't have sufficient information to reset your security questions.,@124485 We'll need to refer you here for help with your Apple ID:  https://t.co/UJm15vmMM2,6,,,
62,Yeah I actually just fixed it by tapping the top of the phone above the camera. Works fine again! Thanks!,@140212 Excellent! You're welcome. Have a great day!,6,,,
63,I’ve tried trashing Bluetooth prefs - but this didn’t help. Could you please explain how to run the hardware test?,"@139271 Absolutely, there are a few steps involved. Are you able to open the article we previously sent? If so, the steps are there. If you have any issue viewing the article send us a DM with the link below and we'll provide them for you. https://t.co/GDrqU22YpT",6,,,
64,Update: still resets phone even after removing and reinstalling.,"@136097 We appreciate the update. Just to be sure that we're on the same page, is your iPhone restarting while you're using any other apps? Please send us a DM with the results. https://t.co/GDrqU22YpT",6,,,
65,How do I get rid of this notification?,@118244 Let's see how we can help. Is that the message you see when trying to swipe the notification and get to the app?,6,,,
66,Once I removed two step authentication it all went back to normal - thanks for responding,@125180 We're here to assist if you need assistance in the future.,6,,,
67,My laptop’s doing this again,@143056 We want to help. Let's continue in DM. https://t.co/GDrqU22YpT,6,,,
68,That worked. Thank you.,@122925 You're very welcome. Please let us know if there's anything else we can do for you.,6,,,
69,Its slowing down my mac a lot,"@117459  Is 25 GBs what you have left after the snapshots were created on the drive though? Or, were you low on space prior to snapshots?",6,,,
70,"Update to latest version,did the restart thing but still no vibrate at all when notifications coming",@122940 Let's look into this some more. Send us a DM and let us know anything else you have tried as well as the country you're in. https://t.co/GDrqU22YpT,6,,,
71,"Battery life awful, iOS 11.2, iPhone X","@141455 We’d love to help with your battery life. To start, please send us a DM. https://t.co/GDrqU22YpT",7,,,
72,"I have a 6 Plus, everyone that I have talked to has been having the issues that he mentioned since the iOS 11 updates. My battery life is terrible now, my cursor/screen freezes & jumps around while I’m typing & I have to do a hard reset every couple of days.","@144218 We expect you to have a great experience running the latest version of iOS, 11.1.2, on your iPhone 6 Plus. Send us a Direct Message, and we'll work together to investigate the behaviors you're running into, so we can offer the best solution. https://t.co/GDrqU22YpT",7,,,
73,"So I accidentally did the new @115858 update,cause it kept popping up on my screen,n now battery is at 39% after charging all night n went down to 30% in literally 15seconds of use..... WTF?!","@135638 We certainly understand how important a good battery life is. We'd be happy to look into this further with you. 
Which device are we working with? Shoot us a DM and let us know. https://t.co/GDrqU22YpT",7,,,
74,Even i have the battery drain issues since updating to iOS 11. Not even any better on iOS 11.1,"@124883 Battery life is important, so we'd like to help. Let us know in DM when this started happening. https://t.co/GDrqU22YpT",7,,,
75,you new update is crap it just drains the battery. 100%full 5 mins late 88%,"@135084 That's certainly not how we want the battery to be working for you. Let's work together. To start, DM us the device you're using and how many times you charge the device on a daily basis. https://t.co/GDrqU22YpT",7,,,
76,"Hey 11.2.1 is killing my battery- big time. iPhone 6s+ I used to make it to 3 pm and still have 80%. I’m below 40 already (3:15). And no, I don’t use the app.",@141087 Thanks for contacting us. We know how important battery life is. We'd be happy to help in any way we can. Let's meet in DM to troubleshoot together. https://t.co/GDrqU22YpT,7,,,
77,"My 6s starts as expected at 100% use it for 5 minutes and it needs recharged, really infuriating",@142823 We'd like to look into what's happening on your iPhone. Could you join us in DM to get started? https://t.co/GDrqU22YpT,7,,,
78,"my iphone 6s is rendered two 2 hours. Drained battery, killed all non used apps and still two hours. newiosblows",@123705 Let's look into what's happening together. Send us a DM telling us the country you're located in to begin. https://t.co/GDrqU22YpT,7,,,
79,Please help. My mom's iPhone 6s Plus' battery drains so fast even without using it. It happened after she updated to iOS 11.1.2.,@130909 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this issue with you there. https://t.co/GDrqU22YpT,7,,,
80,Why are all my Apple gadgets slowing down all of the sudden,@135578 We want to help. What do you mean by gadgets?,7,,,
81,Always wait. I stupidly didn't. Same problem. @115858 https://t.co/HyqLZTzDbr,@136059 We're here to help. Click here to meet us in DM and we'll do everything that we can to get this sorted with your battery life. https://t.co/GDrqU22YpT,8,,,
82,@126993 @115858 Even this tweet has the error 🙄. Fix it https://t.co/VRGWHCCsQF,@126992 We'd be happy to look into this with you. Send us a DM and we can start there. https://t.co/GDrqU22YpT,8,,,
83,@116346 @115858 @115714 Yes a legit nothing fixes it for me,@128775 We'll be happy to look into this issue for you concerning you device. Please shoot us a DM. -AS,8,,,
84,"It’s been a few days since @115858 made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",@116336 Hi there! iOS 11.1 was released earlier today containing some bug fixes. Let's back up and update: https://t.co/80YRnjDFDk,8,,,
85,Sorry Twitter won't let me DM you because I refuse to give my phone number to a company that cannot safe guard data. I'm on 11.1.1 and refuse to upgrade to 11.1.2 because of the huge security flaw.,"@128527 We'd like to help you out. If you can't DM, there are other support options here:

 https://t.co/IBIY3vMgPj https://t.co/GDrqU22YpT",8,,,
86,my phone’s updated tho 🤔 what kinda bug is this @115858 fix it https://t.co/g3DalWEd91,@139265 We're here to help find the best solution. Can you send us a DM with detials on what you're referring to? https://t.co/GDrqU22YpT,8,,,
87,@143278 The fingerprint has never worked for me either! C’mon @115858 Fix it!...,"@143277 Hey, let's meet up to discuss any issues you're having with your Apple products today. Here's a link to discuss this in DM: https://t.co/GDrqU22YpT",8,,,
88,@115858 this “I.T” thing gonna be fixed any time soon....,@136611 We can help. Let's work on this together. Send us a DM. https://t.co/GDrqU22YpT,8,,,
89,@115858 ever since the update I’ve been experience some difficulties #Typical #MylastIphone https://t.co/BeCpD21A2D,"@136633 We appreciate you reaching back out. Are you able to adjust your keyboard using the steps in the ""Turn on one-handed typing” section of this article? https://t.co/tWyRHFS2AX Also, approximately how often do you experience that behavior with the lock screen?",8,,,
90,"@115858 trying to cancel an online order, each time I login i'm told I don't have access to the order.",@122933 Hello. Our Sales Support team will be happy to assist you with this issue here: https://t.co/RmFSlCBcIE,8,,,
91,"Hi there, my iPhone 6S plus can’t do backup for it, not by iCloud and iTunes , any way to fix it ,thanks",@123977 We'd love to help. What happens when you try back up via iTunes?,9,,,
92,"how come @115858  that is suppose to be a top tech company, cant manage to create an update that doesn't make my iphone slower, and freezing constantly after updating it? my iphone version is only one from the last, and i have enough memory left... $ not worth",@122015 We can help with iPhone performance. What device are you currently using? We'll help get that resolved.,9,,,
93,My worst fear came true... my iPhone alarm isn’t working and never went off this morning,"@121044 Hello. We are here to help. Has this happened previously. Also, what is your iOS version?",9,,,
94,Did the latest update. Problem continues when I FaceTime my wife. She has the same issues on her end as well. Both phones were already restarted and it didn’t fix the problem,"@143489 Thanks so much for reaching back out! So we can look closer into this with you, reach out to us in DM using the link below and we'll continue from there. https://t.co/GDrqU22YpT",9,,,
95,"Overnight my messages in my iPhones be have changed and are not recognising my contacts?? What’s going on Please advise, this is ridiculous the amount of issues happening!","@142193 Thanks for reaching out. We'd like some additional information to help. Are the messages showing out of chronological order? Also, when you state your contacts aren't recognized are you missing contact information? Let us know the details in a DM and we'll continue. https://t.co/GDrqU22YpT",9,,,
96,Is it still possible to install IOS 10.3.3 on iPhone 6s?,@140656 You should be able to update your iPhone to the latest version of iOS 11 actually. Find out more online here: https://t.co/80YRnjDFDk DM us if you have any questions. https://t.co/GDrqU22YpT,9,,,
97,A few hours ago...I’m on WiFi at a restaurant cellular connections not good enough,@136594 Are you able to access other Internet-based content while connected to the restaurant Wi-Fi?,9,,,
98,"Can't update iPhone software, restarted phone and reconnected internet still not working",@127218 Let's look into this together. Which model of iPhone are you using? Here's a great guide to help: https://t.co/Ui1yTnOCUz,9,,,
99,Just received new unit of iPhone X. First had horrible yellow screen and this is even worse. Is gonna finally admit that the some screens are not as good as they claim to be? Apple iPhoneX,@135591 Congratulations on your new iPhone! Let's get to the bottom of what's going on. Please send us a DM with your country and we can get started there. https://t.co/GDrqU22YpT,9,,,
100,IOS new update have some problems. Have to charge the phone 3 times a day. Before it was just once.,@127404 We understand how important battery life is. What is the exact version you updated to? https://t.co/ZTw54HL4Rm,9,,,
101,why is my phone acting up saying im out of storage? How do I go from 60gb then delete Spotify(3gb) and end up with 59gb,"@128495 Let's work on this together. When you get the message about storage, is it referring to your iCloud Storage?",10,,,
102,"Ok, I have a $4.99 student account w/Apple Music but just realized some days ago they've been charging me da 12.99 family plan @115858 fix it",@128695 Thanks for reaching out. For billing issues with Apple Music reach out to our iTunes Store Support: https://t.co/SDIe7UiyJN,10,,,
103,how do I cancel my Apple music trial there is no option to?,"@135646 Check out this article, it will provide the steps to cancel a subscription: https://t.co/YKDbvueXrq",10,,,
104,I keep getting this error message saying “the item can’t be played” and idk how to fix it...,@116348 We'd like to look into this with you. Does the song appear to be greyed out?,10,,,
105,"apple music got renewed a couple of days ago, but unable to access it right now",@127594 We want to help you get back to enjoying your Apple Music! Which device are you accessing it on? Do you get an error message?,10,,,
106,"Pandora was playing, then suddenly the apple logo appeared and Pandora stopped and a few seconds later I had to type in my passcode to unlock the phone. I found all my open apps backgrounded but I had to forground Pandora and it started playing again.","@142505 Are all of your apps up-to-date if you connect to Wi-Fi and check in its App Store &gt; Updates section?

How many times has this occurred?",10,,,
107,"And all of a sudden, for no reason, 80GB of music got wiped. WTF, ? ›","@128489 We know how important your music is, and we'd like to look into what happened to your songs. To start, send us a DM. https://t.co/GDrqU22YpT",10,,,
108,"All website. I can record with audio. The recording are playing well in Photos and the sound is ok. But when I import them in iMovie, the sound doesn’t follow. Only if I was in Safari when I made the screen recording",@121032 Is this iMovie for iOS or for the Mac?,10,,,
109,It’s says it’s “indexing” and won’t play my music,@128488 Thanks for that info. Restart the iPhone and then DM us if that issue persists. https://t.co/GDrqU22YpT,10,,,
110,Apple Music?? That way I've lost a lot of unnecessary money and I still can't listen to albums and single offline or most of the time even with WIFI because it keeps telling me I need an Apple Music plan for my ITUNES music?? please help,@136038 We'd like to see what's going on with your music you purchase. DM us and let us know which device you are purchasing the music on and if you have iCloud Music Library enabled. We'll get started there. https://t.co/GDrqU2kzhr,10,,,
111,I can’t because it sends a code to the phone I can’t use??,"@125905 Do you have access to a computer? If so, you can log into your Apple ID account page to make these changes shown in the guide.",11,,,
112,Are refurbished iPads used less than a month? 30 day return policy from most stores!!,"@140207 Hello and thanks for reaching out to us. We test and certify all Apple refurbished products and include a 1-year warranty. All refurbished iPad models also include a brand new battery, new outer shell and a new white box. DM us with any other questions. https://t.co/GDrqU22YpT",11,,,
113,Thank you. Twitter didn’t notify me of your reply :( so restored phone & ok now. Was phone storage not iCloud.,"@125426 We're glad to hear the issue has since been resolved. Let us know if you have any further questions. Additionally, there may have been a new update to iOS 11. If you're not on iOS 11.1.1, we'd recommend backing up and updating to that latest version.",11,,,
114,I’m having trouble accessing your website to purchase something. Any chance you know when it’ll be available again?,@143285 We're happy to help. What happens when you try to make a purchase? Are you getting an error message?,11,,,
115,"No, these are all the options in the general spot. Siri settings also do not appear in search.","@144223 You mentioned wanting to use Siri only on your Apple Watch, is that right? To be sure we understand, do you have Siri disabled on the paired iPhone right now?",11,,,
116,Four videos are suddenly gone from my phone...would the automatic iCloud backing-up do that? Clear space by transferring them there?? That's the only thing that could make any sense.,@135614 Let's check some settings on your device. Tap Settings &gt; Photos. Is iCloud Photo Library on? Have you signed out of your Apple ID?,11,,,
117,where do we forward fake Apple emails?,@139840 We certainly appreciate you reaching out to us on this. This article should assist: https://t.co/LNMCdqt6fD,11,,,
118,Hey - Over the last few days my messages app on my iMac and MBA stopped syncing with my iMessages from my iOS devices. Any ideas on how to fix this problem? I've lost one of my favorite parts of AppleSimplicity,"@138696 We’d love to help with your messages. To start, do you see your iMac and MacBook enabled if you tap Settings &gt; Messages &gt; Text Message Forwarding on your iPhone?",11,,,
119,I'm desperate. my grandkid just turned on voiceover with the internet off. I tried rebooting and now it wants my passcode but won't let me enter it. How do I get access to my ipad again.,@142196 We've got your DM and will continue with you there! Be on the lookout for our reply. Thank you!,11,,,
120,"Yes. The same email accounts are on my Mac, iPad, and 6S Plus",@143490 Your mail should sync automatically. Are you experiencing anything different with your devices?,11,,,
