conversation_id,customer_tweet_id,support_tweet_id,customer_message,support_response,response_behavior,response_quality
103166,103166,103165,@115858 iPhone X orange camera problem? https://t.co/HooDTPyYNl,@138695 Let's help take a look. How long has this been happening? Have you tried any troubleshooting such as force quitting camera or rebooting the iPhone X? What's the version of iOS in Settings &gt; General &gt; About?,troubleshooting,actionable
103169,103169,103167,Hey - Over the last few days my messages app on my iMac and MBA stopped syncing with my iMessages from my iOS devices. Any ideas on how to fix this problem? I've lost one of my favorite parts of AppleSimplicity,"@138696 We’d love to help with your messages. To start, do you see your iMac and MacBook enabled if you tap Settings &gt; Messages &gt; Text Message Forwarding on your iPhone?",troubleshooting,actionable
103169,103168,103170,Yes they are. My iPad is as well and that one is still working normally.,"@138696 On your iMac and MacBook, open Messages, then choose Messages &gt; Preferences. Click Accounts, then select your iMessage account. Do you have a check next to your phone number and email address? Is the same Apple ID being shown that you use with your iPhone?",troubleshooting,actionable
103169,103171,103172,All is correct there.,@138696 Thank you. We’d like to look further into this with you. Please send us a DM confirming which software version you are using with your iMac and MacBook Air. https://t.co/GDrqU22YpT,dm_escalation,guided_escalation
103174,103174,103173,why does my battery drain so fast now on iOS 11.1.2 I lose 10% in an hour or less and I don’t even use the phone. Im at 26% now,@138697 We know how vital the battery is and we'll help. Are you using the Apple Lightning to USB cable and power adapter to charge your iPhone? You can DM us your answer. https://t.co/GDrqU22YpT,information_request,guided_escalation
103176,103176,103175,Zouden jullie mij uit kunnen leggen waarom mijn telefoon ineens geen geheugenruimte meer over heeft terwijl ik er al van alles heb afgegooid? En dit tot grote ergernis blijft doen?,@138698 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,link_resource,actionable
103179,103179,103177,FYI. Def have to you use passcode to unlock iPhone X more than past iPhones with touchid. iphonex FaceID,@138699 Congratulations on your new iPhone X. We'd like to help you. Have you tried setting up Face ID again? https://t.co/lDcNYSCMiX,information_request,actionable
103179,103178,103180,It’s not that. It’s because there’s many possible inference vision to the face. Like hands on face and other objects.,"@138699 Face ID will adapt to changes in your appearance, such as wearing sunglasses or growing facial hair. If you have your hands over your face, it will be difficult for Face ID to scan and unlock your iPhone. If you remove your hands, does Face ID unlock the iPhone?",troubleshooting,actionable
103179,103181,103182,"Yes. I think touchID was better, just my opinion. Just giving you some feedback but other than that I do like the new hardware finally.",@138699 We appreciate your feedback and we’re glad to hear that you like your new iPhone! Let us know if we can assist you with anything else in the future.  Have a wonderful day!,other,other
103184,103184,103183,The recent IOS update has slowed my 6S down to a crawl. I am seriously reconsidering my commitment to @115858.,@138700 We want you to be able to use your iPhone with no issues. Are you noticing it running slow when using specific apps? Let us know in DM. https://t.co/GDrqU22YpT,information_request,guided_escalation
103186,103186,103185,"@115858  thanks for making my phone backup fucking useless, cant download it back onto my phone because of a shitty ''two-factior verification' with my fucking old number, load a shite","@138701 We know how important being able to restore from a backup is. DM us a bit more details on what’s happening when you try to restore it, and we’ll work towards a resolution together. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
103193,103192,103191,I need to charge the battery 3 times a day. And I'm sick of it.,"@138702 Let's try following this article for Maximizing Battery Life, and let us know if it helps: https://t.co/TpjqFp3jxD",troubleshooting,actionable
103193,103189,103187,this happened after the update,@138702 We know how important it is to get the best performance from your battery and understand this happened after updating. We'd like to discuss some additional recommendations. Please DM us with the country where you're located to continue. https://t.co/GDrqU22YpT,troubleshooting,guided_escalation
103193,103188,103190,I know these. iphone 6+. I started having problems after installing iOS 11 when everything was normal. and now I'm going back too! Did you understand me?,@138702 We'd like to get clarification and work on a solution for your iPhone's performance. Please use the link below to DM us with the country where you're located. https://t.co/GDrqU22YpT,troubleshooting,guided_escalation
103197,103197,103195,what’s going on with this latest update? Whenever I type the “it” it autocorrects to “I.T” unless I press the actual word it. Wtf is going on?,@138703 We'd be happy to look into this with you. Can you provide us which iOS version you're using? This can be located in Settings &gt; General &gt; About &gt; Version.,troubleshooting,actionable
103197,103196,103198,11.2,@138703 Just to be sure are you on iOS 11.1.2 or iOS beta 11.2? Let us know in DM here: https://t.co/GDrqU22YpT,information_request,guided_escalation
103200,103200,103199,dont understand why i just called you to have my phone not working stilll.... thanks so much,@138704 Send us a DM. Let us know more details on the issue. We'll do our best to help. https://t.co/GDrqU22YpT,dm_escalation,guided_escalation
103205,103205,103203,The new update to my iMac messed up my play/pause button. It no longer controls Spotify but the videos on my facebook timeline and inside safari. How do I fix this?,@138705 We can assist you. Does this take place with any other apps such as iTunes?,information_request,other
103205,103202,103201,I tried to recreate the issue with iTunes open and was unable to reproduce the effect. Thank you for your reply.,"@138705 Got it, thank you. If it still occurs in Safari, please send us a DM. We'd like to continue working on this with you. https://t.co/GDrqU22YpT",dm_escalation,generic_escalation
103207,103207,103206,Yo @115858 you can make my phone not send/receive texts all you want I’m not buying your overpriced piece of glass #CanYouHearMeNow,@138706 Hi. We'd like to help. This article can help resolve most issues with sending and receiving messages on your iPhone: https://t.co/2hgNQH8Vvq Let us know if this helps.,link_resource,actionable
103210,103210,103208,OMFG @115858 this is my 3rd pair of fkn headphones that have crapped out on me.,"@138707 Hi, we appreciate you reaching out to us to resolve this issue. We would like to gather a little more information before we continue. First, are they Apple or Beats headphones?",information_request,other
103210,103209,103211,apple. ones you get when you get a new phone.,"@138707 Got it, thanks. So we're sure to be on the same page is there no sound at all or is there an issue with the sound quality? Also, does it happen when connected to any device?",information_request,other
103210,103212,103213,no sound in the right earphone and yes.,"@138707 Alright, we'd like to take a look at your options. Let us know when and where this set was purchased in a DM and we'll continue. https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
103215,103215,103214,"@116333 Please help me, apple call centre in India unable to support",@138708 We're happy to assist you. Is this related to the Face ID issue you recently had? DM us with more information and we'll go from there. https://t.co/GDrqU22YpT,information_request,guided_escalation
103218,103218,103216,Yo my iPhone just went from 100% to 20% in an hour.,"@138709 Battery life is important, and we can help. To start, tell us the iOS version your iPhone is running, and we’ll take it from there.",acknowledgement,other
103218,103217,103219,iOS 11.1.2 - it’s up to date,"@138709 OK, thanks. So that we can look into this further, use the link below to DM us, and we’ll  take it from there. https://t.co/GDrqU22YpT",dm_escalation,generic_escalation
103221,103221,103220,I WANT Y’ALL TO EXPLAIN TO ME WHY MY 8 PLUS BATTERY IS GARBAGE. I’VE BEEN ON IT FOR LIKE AN HOUR AND IT’S AT 74%. IT GOES DOWN LIKE 5 PERCENT WHEN I LISTEN TO ONE FUCKING SONG.,@138710 We're happy to look into what's happening with your iPhone battery performance. We know how important it is to have your iPhone battery performing at its best. Send us a DM letting us know if you see the message outlined in this article: https://t.co/KyywFa9iZ3 https://t.co/GDrqU22YpT,dm_escalation,guided_escalation
103224,103224,103222,"""Keep in mind that this version will still be available to all users as a manual update from the App Store""...@118936 @115858.. the app store does not behave like this. Please can we fix this 🙏",@138711 We're happy to look into this with you. What are you downloading when you see this message?,information_request,other
103224,103223,103225,"Thanks. Each time we release the depop app using phased rollout, a user sees the what’s new text when they go to the App Store, but the OPEN button shows and they can’t download the new version",@138711 Got it.  You will need to reach out to Developer Support here.  They will be happy to help.  https://t.co/LIrs0dB6kH,link_resource,actionable
103228,103227,103226,@138713 Estou com problemas com a querida @115858 tbem e tive que acionar o Procon.,"@138712 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",link_resource,actionable
103230,103230,103229,hi. i received an email about icloud payment from this email account and i'm wondering if it's fake since I domt have any apple decives at the moment so I didn't purchase anything.,@138714 Thanks for taking the time to reach out. We know it's important to be able to identify legitimate emails and we're here to get you pointed in the right direction. You'll want to review this article for help: https://t.co/LNMCdqt6fD,link_resource,actionable
103233,103233,103232,Are you guys kidding with these keyboard bugs?? I.T is so frustrating. Android is looking very tempting and be been an Apple user for YEARS. Is there a timeframe for a fix? Published workarounds don’t work!,@138715 We're happy to look into this issue with you. Please DM us your current iOS version and we'll go from there. https://t.co/GDrqU22YpT,dm_escalation,guided_escalation
103235,103235,103234,@115858 Estoy muy decepcionado con la calidad de la compra online. Despues de esperar tanto tiempo para el IPhone X + AppleWatch teneis problemas con el sistema de pago. Muy muy decepcionado !!! Espero que esto no afecte a la fecha de entrega de mi pedido!!!,@138716 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,link_resource,actionable
103237,103237,103236,Err um. when are we gonna fix the issue with all my I’s looking like trash,"@138717 Hi there. We recently released an update that includes a fix. Follow the steps here to back up and update your device: https://t.co/80YRnjDFDk If you are still seeing this when you type after updating, send us a DM and we'll take a closer look. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
103240,103240,103238,Why did all my pictures just delete from my phone. WTF just happened,@138718 We can help with your Photos! Please tell us which iPhone and iOS you're using in DM and we'll go from there: https://t.co/GDrqU22YpT,dm_escalation,guided_escalation
103240,103239,103241,They came back thanks.,@138718 That's great to hear! Please do reach back out if we can be of any further assistance.,other,other
103243,103243,103242,"On iOS 11, the video player shows a scrubbing speed tip every time I scrub for a while. Useful the 1st / 2nd time, but maybe not the gazillionth time. Is there a way to turn it off?",@138719 We’d be glad to look into this with you. Can you start by explaining what app you are using to view the video in DM? These details help us determine where to get started. https://t.co/GDrqU22YpT,information_request,guided_escalation
103245,103245,103244,Is this real? The app store said there were no updates.,"@138720 Thanks for taking the time to reach out. Yes, that notification is from Apple.",other,other
103248,103248,103246,Hey is this a known bug that will be fixed soon? My dock on iPad continues to not stay centered and only a reboot will reset it. See attached picture.,@138721 We'd love to look into this with you. Which exact version of the operating system is your iPad running? Let us know in DM and we'll team up to get this resolved. https://t.co/GDrqU22YpT,information_request,guided_escalation
103248,103247,103249,11.1.2,@138721 Thanks. Do you notice this occurring after running or exiting out of a certain app? Let's continue via DM. https://t.co/GDrqU22YpT,information_request,guided_escalation
103253,103252,103250,@115858 The upgrade is messing up with FaceTime. I had to restart 4 times in one day because it freezes. Fix this please,@138722 We want to help. What device is the issue occurring on?,information_request,other
103941,103941,103939,Is there a way to save the photos you have on a external hard drive to iCloud?,"@138902 Thanks for contacting us with this great question about importing photos to iCloud! There are a couple of different ways, so we want to know a bit more, so we'd love to help! DM us which kind of computer you're using and we'll get started. https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
104192,104192,104191,"Hi . I keep my personal iPhone 6S in my pocket. Any time I also carry my work iPhone 6 in my bag, the steps count from both devices seem to get added together in the Health app. Is there a way to stop this please? It didn't happen in iOS 10.","@138973 We understand how important it is to sort this out. The Health app handles data from different sources such as from other devices or apps. However, you can prioritize the data sources and learn more about this here: https://t.co/FbDAfgVHS6 DM us any other questions. https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
104192,104190,104189,"Thanks. Yep I checked that, but neither phone has the other listed as an alternative data source. It’s almost like it’s because they’re both linked to my iCloud account or something. Here’s an example from one of them, the one listed is the same device name.",@138973 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,dm_escalation,generic_escalation
104192,104188,104187,Certainly. I’ll collect some screenshots to illustrate the problem and message you later.,"@138973 Great, thanks.",other,other
104194,104194,104193,"my storage has ran out and nothing I download isn't storing on my iCloud which still has 2GB left,help?",@138974 We want to help you with managing your storage on your iPhone. Your iPhone is able to show you information on the storage being used and make recommendations to optimize your storage usage. Please check out more on how to clear that space here: https://t.co/0yFHFRYSnX,troubleshooting,actionable
105315,105315,105314,Anybody else having a problem uploading  screenshotted pictures from their #iphone? @115858,@139254 We'd be happy to help with your pictures. Provide us some details of what's going and we can work together from there.,acknowledgement,other
105315,105312,105310,When i go to upload to social media with a slo-mo or screen shotted picture i am getting a loading circle in the middle of the screen and it never finishes loading. Doesnt allow upload to complete,"@139254 Thank you. Does the issue persist if you restart your device? Also, which software version are you using? You can tap Settings &gt; General &gt; About to locate the software version.",troubleshooting,actionable
105315,105311,105313,"Issue remains the same,, i have an 8+ .. software up to date (11.1.2) but i believe the issue is just with instagram and stops any screenshot, slomo or high quality pic from uploading.","@139254 Are there any updates available for Instagram? Send us a DM, and we'll continue helping out from there. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
105317,105317,105316,hey @115858 fix the damn iOS so my phone stops freaking out. you want people to pay $1000 for a phone that has bugs?! it just deleted my entire yahoo inbox and now it’s downloading them again. all 8000! 😡,@139255 We'd like to help! Which iPhone and iOS are you using? You can check in Settings &gt; General &gt; About &gt; Version. Let us know in DM: https://t.co/GDrqU22YpT,troubleshooting,guided_escalation
105323,105323,105322,MY AIRPODS CASE WONT ChARGE WTF,@139257 We are here to help. Is it both that will not charge or just one?,information_request,other
105326,105326,105324,Dear WTF is up with inserting A? When I type I in a text fix this,@139258 We've released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's more about the new update: https://t.co/xU1AGHStV6 Let us know if this helps. https://t.co/GDrqU22YpT,troubleshooting,actionable
105328,105328,105327,Such rude folks in apple store as if they have done favors by selling iPhone  @116333 @6126 #iPhoneSucks #AppleCareSucks,@139259 That's certainly not the experience we want for our customers.  DM us with more details and we can proceed from there to get to the bottom of this. https://t.co/GDrqU22YpT,dm_escalation,guided_escalation
105330,105330,105329,Why I can’t turn my WiFi button on?,"@139260 We'd like to help. Please let us know in DM the device you are using, along with the software version it is running to start: https://t.co/GDrqU22YpT",dm_escalation,guided_escalation
105334,105334,105333,Upgraded Mac (retina 4k 27” late 2014) to High Sierra this week. Photos app is nightmare. Editing virtually impossible as adjustments take 30secs – 1 min to appear. Photos frequently crashes too. Help please?,"@117107 Let's get you connected to our Photos team. Please use this link to get in contact with them: https://t.co/IBIY3vMgPj
Select Apps &amp; Software &gt; Mac apps.",link_resource,actionable
105334,105332,105331,Thank you!,@117107 You're welcome and thank you! Contact us again if you have other concerns or questions. We'll be glad to help. Have a great day.,other,other
105336,105336,105335,@115858 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ .... when are you going to fix this!?,"@139261 We're here for you. Let's get you updated to iOS 11.1.2 to see if the issue persists. 
You can find instructions on backing up and updating here: https://t.co/80YRnjDFDk",troubleshooting,actionable
105339,105339,105337,Is there a way to prevent my Apple Car Play from automatically playing music from my iPhone? I've looked thru all the settings on my phone and in my car and have not found anything.,@139262 Thanks for reaching out. We'd like to know more to assist. Which iPhone model and iOS are you currently using?,information_request,other
105339,105338,105340,I am using an iPhone 8 Plus and iOS 11.1.2,"@139262 Got it, thanks. While automatic playback is expected is your vehicles firmware up to date? There might be additional settings there you can adjust. Let us know in a DM and we'll continue. https://t.co/GDrqU22YpT",troubleshooting,guided_escalation
