annotation_id,text,intent,annotation_confidence,annotation_notes,semantic_cluster
50,all of a sudden I am getting emails pushed via apple mail- I’ve had them set as fetch for a long time. Can’t find where to change back to fetch. The only change I have made is software update. HALP! I don’t want all these to push.,software_update,high,Customer says the Apple Mail behavior changed after a software update.,4
51,"Depende como responda esto perderán un cliente (+familia) y prescriptor desde hace más de 15 años, usuario de toda la gama",other_unclear,high,Customer expresses dissatisfaction but does not state a specific technical support problem.,5
52,"leg dit even uit? Dit is mijn oud e-mail adress/apple id, sinds een recente update krijg ik constant deze melding. Ik heb sinds paar jaar een nieuw e-mail adres en ook een apple id op dit adres. Ik was (nog altijd) het wachtwoord kwijt van het oude e-mail & apple-id",apple_id_icloud,high,"Customer discusses an old Apple ID, old email address, and a forgotten password.",5
53,cuando vais arreglar el problema de la batería con vuestras actualizaciones de IOS? Es de vergüenza,battery_power,high,Customer explicitly complains about battery problems caused by iOS updates.,5
54,Soy sólo yo...o a ustedes también les pasa que a toda hora se les enciende el WIFI del teléfono desde la nueva actualización del iOS ?,connectivity,high,Customer reports that Wi-Fi keeps turning on after a new iOS update.,5
55,"Ongelofelijk dat een MacBook Pro al na 2,5 jaar kapot gaat. Als antwoord krijg je dan alle kosten inclusief reparatie zijn voor eigen kosten. Terwijl de winkel al zegt u kan er niks aan doen dat hij stuk is. slechte service apple geenservice macbook pro",device_hardware,high,Customer reports a MacBook Pro hardware failure and discusses repair costs.,5
56,E eu não recebo notificação de nenhum aplicativo,other_unclear,high,"Customer reports missing app notifications, which does not clearly fit the current taxonomy.",5
57,"Klucííí... z @115858, co mi to děláte? Safari s #iOS 11.1 na #iPhone8Plus neustále padá 📲🕳 chápu, je podzim 🍏🍂...ale tohle nebaví! 🤨 #Fail",performance_freezing,high,Customer reports Safari repeatedly crashing on iOS 11.1.,5
58,@115858 Estoy muy decepcionado con la calidad de la compra online. Despues de esperar tanto tiempo para el IPhone X + AppleWatch teneis problemas con el sistema de pago. Muy muy decepcionado !!! Espero que esto no afecte a la fecha de entrega de mi pedido!!!,other_unclear,high,"Customer is discussing an online purchase, payment system, and delivery timing, which are outside the current taxonomy.",5
59,Desde que actualice a iOS 11 mi iPhone se volvió lento. Me recuerda a los viejos Samsung! Que está pasando?,performance_freezing,high,Customer reports that the iPhone became slow after updating to iOS 11.,5
60,"Bienvenida sea la multi tarea al 3D touch en iphone, gracias newupdate",other_unclear,medium,Customer mentions multitasking and 3D Touch positively but does not describe a specific support problem.,5
61,how can i reset security questions? i face this error: We don't have sufficient information to reset your security questions.,apple_id_icloud,high,Security questions are part of Apple ID account recovery and security.,6
62,Yeah I actually just fixed it by tapping the top of the phone above the camera. Works fine again! Thanks!,device_hardware,medium,Customer asks about a hardware test and reports that physically tapping the phone restored normal behavior.,6
63,I’ve tried trashing Bluetooth prefs - but this didn’t help. Could you please explain how to run the hardware test?,connectivity,high,Customer is troubleshooting a Bluetooth-related problem and has already tried removing Bluetooth preferences.,6
64,Update: still resets phone even after removing and reinstalling.,performance_freezing,high,Customer reports that the phone continues to restart/reset even after reinstalling.,6
65,How do I get rid of this notification?,other_unclear,high,Customer asks about removing a notification but does not provide enough detail to map it to the current taxonomy.,6
66,Once I removed two step authentication it all went back to normal - thanks for responding,apple_id_icloud,high,"Customer reports that removing two-step authentication resolved the problem, indicating an account security issue.",6
67,My laptop’s doing this again,other_unclear,high,Customer says the laptop is doing something again but does not describe the actual problem.,6
68,That worked. Thank you.,other_unclear,high,Customer only confirms that a previous solution worked and does not state the original problem.,6
69,Its slowing down my mac a lot,performance_freezing,high,Customer reports that the Mac has become significantly slower.,6
70,"Update to latest version,did the restart thing but still no vibrate at all when notifications coming",other_unclear,medium,"Customer reports missing notification vibration, which is outside the current taxonomy; the update is context rather than the primary issue.",6
71,"Battery life awful, iOS 11.2, iPhone X",battery_power,high,Customer explicitly reports very poor battery life on iOS 11.2.,7
72,"I have a 6 Plus, everyone that I have talked to has been having the issues that he mentioned since the iOS 11 updates. My battery life is terrible now, my cursor/screen freezes & jumps around while I’m typing & I have to do a hard reset every couple of days.",battery_power,high,Main complaint is severe battery drain after the iOS 11 update; freezing and typing issues are secondary.,7
73,"So I accidentally did the new @115858 update,cause it kept popping up on my screen,n now battery is at 39% after charging all night n went down to 30% in literally 15seconds of use..... WTF?!",battery_power,high,Battery loses charge extremely quickly after the customer installed a new update.,7
74,Even i have the battery drain issues since updating to iOS 11. Not even any better on iOS 11.1,battery_power,high,Customer explicitly reports battery drain after updating to iOS 11.,7
75,you new update is crap it just drains the battery. 100%full 5 mins late 88%,battery_power,high,"Battery drops from 100% to 88% within minutes, indicating severe battery drain.",7
76,"Hey 11.2.1 is killing my battery- big time. iPhone 6s+ I used to make it to 3 pm and still have 80%. I’m below 40 already (3:15). And no, I don’t use the app.",battery_power,high,Customer reports unusually rapid battery drain on an iPhone 6s Plus.,7
77,"My 6s starts as expected at 100% use it for 5 minutes and it needs recharged, really infuriating",battery_power,high,Customer reports needing to recharge the phone after only a few minutes of use.,7
78,"my iphone 6s is rendered two 2 hours. Drained battery, killed all non used apps and still two hours. newiosblows",battery_power,high,Customer reports severe battery drain even when the phone is not being used.,7
79,Please help. My mom's iPhone 6s Plus' battery drains so fast even without using it. It happened after she updated to iOS 11.1.2.,battery_power,high,Customer reports that the iPhone battery drains extremely quickly.,7
80,Why are all my Apple gadgets slowing down all of the sudden,performance_freezing,medium,"Customer reports that Apple devices have suddenly become slower, with no specific battery complaint.",7
81,Always wait. I stupidly didn't. Same problem. @115858 https://t.co/HyqLZTzDbr,battery_power,medium,"Customer says they have the same problem, and the support response identifies the issue as battery life, but the customer message itself provides limited detail.",8
82,@126993 @115858 Even this tweet has the error 🙄. Fix it https://t.co/VRGWHCCsQF,other_unclear,high,Customer reports an error but does not explain what the error is.,8
83,@116346 @115858 @115714 Yes a legit nothing fixes it for me,other_unclear,high,Customer says nothing fixes the problem but does not identify the underlying issue.,8
84,"It’s been a few days since @115858 made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",software_update,high,"Customer is discussing iOS versions, updating, and a security problem with the newer update.",8
85,Sorry Twitter won't let me DM you because I refuse to give my phone number to a company that cannot safe guard data. I'm on 11.1.1 and refuse to upgrade to 11.1.2 because of the huge security flaw.,other_unclear,high,Customer mentions a bug but does not provide enough information to identify the affected feature or problem.,8
86,my phone’s updated tho 🤔 what kinda bug is this @115858 fix it https://t.co/g3DalWEd91,device_hardware,high,"Customer reports that fingerprint/Touch ID has never worked, indicating a device-level biometric issue.",8
87,@143278 The fingerprint has never worked for me either! C’mon @115858 Fix it!...,keyboard_input,high,Customer explicitly refers to the 'I.T' typing/autocorrect problem.,8
88,@115858 this “I.T” thing gonna be fixed any time soon....,keyboard_input,high,The issue is related to keyboard behavior and typing; the support response also directs the customer to keyboard settings.,8
89,@115858 ever since the update I’ve been experience some difficulties #Typical #MylastIphone https://t.co/BeCpD21A2D,other_unclear,medium,Customer says they have experienced difficulties since an update but does not clearly state what the problem is.,8
90,"@115858 trying to cancel an online order, each time I login i'm told I don't have access to the order.",other_unclear,high,"Customer is asking about cancelling an online order and accessing order information, which is outside the current technical-support taxonomy.",8
91,"Hi there, my iPhone 6S plus can’t do backup for it, not by iCloud and iTunes , any way to fix it ,thanks",other_unclear,high,"Backup failure is not covered by the current taxonomy, and the message does not identify a specific supported intent.",9
92,"how come @115858  that is suppose to be a top tech company, cant manage to create an update that doesn't make my iphone slower, and freezing constantly after updating it? my iphone version is only one from the last, and i have enough memory left... $ not worth",performance_freezing,high,Customer explicitly reports the iPhone becoming slower and freezing after an update.,9
93,My worst fear came true... my iPhone alarm isn’t working and never went off this morning,other_unclear,high,Alarm failure is a specific issue but does not fit the current 10-intent taxonomy.,9
94,Did the latest update. Problem continues when I FaceTime my wife. She has the same issues on her end as well. Both phones were already restarted and it didn’t fix the problem,connectivity,medium,"FaceTime is failing on both phones even after restart, suggesting a communication/connectivity problem, although the exact cause is unclear.",9
95,"Overnight my messages in my iPhones be have changed and are not recognising my contacts?? What’s going on Please advise, this is ridiculous the amount of issues happening!",other_unclear,high,"Messages and contacts are behaving incorrectly, but this does not clearly fit the current taxonomy.",9
96,Is it still possible to install IOS 10.3.3 on iPhone 6s?,software_update,high,"Customer is asking whether iOS 10.3.3 can be installed, making software version/update the main topic.",9
97,A few hours ago...I’m on WiFi at a restaurant cellular connections not good enough,connectivity,high,Customer specifically mentions Wi-Fi and cellular connectivity problems.,9
98,"Can't update iPhone software, restarted phone and reconnected internet still not working",device_hardware,high,Customer reports a physical display/screen quality problem on a newly received iPhone.,9
99,Just received new unit of iPhone X. First had horrible yellow screen and this is even worse. Is gonna finally admit that the some screens are not as good as they claim to be? Apple iPhoneX,battery_power,high,Battery usage increased from once to three charges per day after the update.,9
100,IOS new update have some problems. Have to charge the phone 3 times a day. Before it was just once.,battery_power,high,Customer explicitly reports needing to charge the phone three times a day after the new iOS update.,9
101,why is my phone acting up saying im out of storage? How do I go from 60gb then delete Spotify(3gb) and end up with 59gb,other_unclear,high,Storage-management problem does not clearly fit the current taxonomy; the message does not establish that iCloud/account access is the main issue.,10
102,"Ok, I have a $4.99 student account w/Apple Music but just realized some days ago they've been charging me da 12.99 family plan @115858 fix it",apple_music,high,Customer is reporting an Apple Music subscription and billing issue.,10
103,how do I cancel my Apple music trial there is no option to?,apple_music,high,Customer wants to cancel an Apple Music trial.,10
104,I keep getting this error message saying “the item can’t be played” and idk how to fix it...,apple_music,high,"The customer reports that a music item cannot be played, making this a music playback problem.",10
105,"apple music got renewed a couple of days ago, but unable to access it right now",apple_music,high,Customer's Apple Music subscription was renewed but the service cannot be accessed.,10
106,"Pandora was playing, then suddenly the apple logo appeared and Pandora stopped and a few seconds later I had to type in my passcode to unlock the phone. I found all my open apps backgrounded but I had to forground Pandora and it started playing again.",performance_freezing,high,"The phone appears to restart or crash unexpectedly, causing apps to be backgrounded and requiring the passcode again.",10
107,"And all of a sudden, for no reason, 80GB of music got wiped. WTF, ? ›",apps_app_store,high,"The problem occurs when importing a recording into iMovie, making it an application-specific issue.",10
108,"All website. I can record with audio. The recording are playing well in Photos and the sound is ok. But when I import them in iMovie, the sound doesn’t follow. Only if I was in Safari when I made the screen recording",apple_music,high,Music cannot play because Apple Music is stuck on 'indexing'.,10
109,It’s says it’s “indexing” and won’t play my music,apple_music,high,Customer cannot play music or albums offline and reports an Apple Music/iTunes access problem.,10
110,Apple Music?? That way I've lost a lot of unnecessary money and I still can't listen to albums and single offline or most of the time even with WIFI because it keeps telling me I need an Apple Music plan for my ITUNES music?? please help,apple_music,high,Customer explicitly reports Apple Music/iTunes music access and subscription-related problems.,10
111,I can’t because it sends a code to the phone I can’t use??,apple_id_icloud,high,"Customer cannot receive the verification code because they cannot access the trusted phone, which is an Apple ID/account-access problem.",11
112,Are refurbished iPads used less than a month? 30 day return policy from most stores!!,other_unclear,high,"Customer is asking about refurbished iPad usage and return policy, which is outside the technical-support taxonomy.",11
113,Thank you. Twitter didn’t notify me of your reply :( so restored phone & ok now. Was phone storage not iCloud.,other_unclear,high,"Customer is asking about phone storage and distinguishes it from iCloud, but the actual storage issue is outside the current taxonomy.",11
114,I’m having trouble accessing your website to purchase something. Any chance you know when it’ll be available again?,other_unclear,high,Customer cannot access Apple's website to make a purchase; website and purchasing issues are outside the current taxonomy.,11
115,"No, these are all the options in the general spot. Siri settings also do not appear in search.",other_unclear,high,Siri settings and Apple Watch configuration do not fit any of the current 10 intents.,11
116,Four videos are suddenly gone from my phone...would the automatic iCloud backing-up do that? Clear space by transferring them there?? That's the only thing that could make any sense.,apple_id_icloud,high,Customer asks about iCloud automatically backing up or removing photos and mentions Apple ID settings.,11
117,where do we forward fake Apple emails?,other_unclear,high,"Reporting fake Apple emails is a security and phishing-reporting issue, which is outside the current taxonomy.",11
118,Hey - Over the last few days my messages app on my iMac and MBA stopped syncing with my iMessages from my iOS devices. Any ideas on how to fix this problem? I've lost one of my favorite parts of AppleSimplicity,connectivity,medium,"iMessage is not syncing between devices, indicating a device-to-device communication or synchronization problem, although the exact cause is unclear.",11
119,I'm desperate. my grandkid just turned on voiceover with the internet off. I tried rebooting and now it wants my passcode but won't let me enter it. How do I get access to my ipad again.,other_unclear,high,VoiceOver and passcode access problem does not clearly fit the current taxonomy.,11
120,"Yes. The same email accounts are on my Mac, iPad, and 6S Plus",other_unclear,high,Customer only confirms that the same email accounts exist across devices; no specific support problem is stated.,11
