annotation_id,customer_message,support_response,semantic_cluster,human_intent,annotation_confidence,annotation_notes
14,@AppleSupport  https://t.co/9KrD2oAz5L,@141848 Thanks for reaching out. We'd like some additional details to assist. Which iOS is this occurring on? Let us know and we'll take it from there.,1,other_unclear,high,Only tags AppleSupport and provides a link; no problem is described.
15,Wow! Also in landscape! This is better than I think!,"@118246 We'd love to look into this with you!  To begin, can you DM us what iOS version you're currently on? https://t.co/GDrqU22YpT",1,other_unclear,high,Positive comment about landscape mode with no specific support problem.
16,"my watch has been saying I’ve been averaging 57 minutes, now today it’s 52, I checked and did the math it’s 57... what the???",@118099 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,1,other_unclear,high,Apple Watch workout-time discrepancy does not clearly fit the current taxonomy.
17,@AppleSupport  https://t.co/yvu10fymce,@123687 Thank you. Please check to see if you have an update available under Settings &gt; General &gt; Software Update.,1,other_unclear,high,Customer message contains only a link and AppleSupport mention; no issue is described.
18,what is this?,"@136587 We can definitely offer some guidance. Since noticing this, have you had a chance to restart your iPad? This step may seem simple, but it can resolve minor issues with your device.",1,other_unclear,high,Question is too vague to identify a specific support intent.
19,Thank you,@125167 You're welcome!,1,other_unclear,high,Thank-you message with no support intent.
20,Thank you!,@144022 You are very welcome.,1,other_unclear,high,Thank-you message with no support intent.
21,11.0.2,@129985 We’re here to help. Let us know via DM if this happens after going to Settings &gt; Keyboards &gt; Predictive and turn it off. https://t.co/GDrqU22YpT,2,other_unclear,high,Only provides iOS version 11.0.2; no problem is described.
22,11.1.1,"@141849 Thanks for that detail. Let's get you up to speed as a first step and see if the issues resolve themselves. We've released iOS 11.1.2 recently, so let's get you to back up and update first. Check out this link for assistance in this step: https://t.co/EGo8nZttAk",2,other_unclear,high,Only provides iOS version 11.1.1; no specific issue is stated.
23,11.1.2,@140197 Thanks for that. Would you mind joining us in DM please? We'd like to continue our conversation there. https://t.co/GDrqU22YpT,2,other_unclear,high,Only provides iOS version 11.1.2.
24,"Yes it did, 11.0.3","@115868 We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk",2,other_unclear,medium,Reply refers to missing context; the version alone does not identify the intent.
25,11.1,@128332 Are you using a third-party keyboard in Settings &gt; General &gt; Keyboard &gt; Keyboards ? Let us know in DM. https://t.co/GDrqU22YpT,2,other_unclear,high,Only provides iOS version 11.1; no problem is described.
26,11.1,"@129051 Great, thanks! Have you tried to restart your iPhone or check to ensure your apps are up-to-date? If not, try that for us.",2,other_unclear,high,Only provides iOS version 11.1; no problem is described.
27,Hey this is what happened after 10.13.1 please advise.!!,@123175 We want your Mac to work as expected. Does this message come back up if you click the Restart button?,2,software_update,medium,"Customer explicitly connects the problem to macOS 10.13.1, but the actual problem is not stated."
28,it is updated to 11.1,@124862 Thank you. Please send us a DM letting us know when this first started happening and we'll take it from there. https://t.co/GDrqU22YpT,2,other_unclear,high,Only says the device is updated to iOS 11.1; no problem is described.
29,I have 11.0.3,"@117650 The first step we want to take is to back it up, then update it to iOS 11.1 to rule that out: https://t.co/80YRnjDFDk",2,other_unclear,high,Only provides iOS version 11.0.3; no problem is described.
30,It started in may. 11.1.2,"@142515 Check out the following article and try out the steps it suggestsL: https://t.co/5KootZbxj1

If this does not resolve the issue, let us know via DM which country you are in and who your carrier is, then we can go from there. https://t.co/GDrqU22YpT",2,other_unclear,medium,"Provides when something started and the iOS version, but the actual issue is missing."
31,@115858 creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,@117101 Let’s work together on this. How long has this been happening? Do you experience similar behavior with Siri?,3,keyboard_input,high,"Talk-to-text produces incorrect typed text, making this a text-input problem."
32,Anybody else experiencing the bug where the letter I turning into a weird set of glyphs? Igate,@127936 That's not the experience we want you have with iOS 11. Follow us to DM and we'll get started. https://t.co/GDrqU22YpT,3,keyboard_input,high,The letter 'I' is converted into incorrect glyphs while typing.
33,Man I’m having the same problem. Thought EYE was alone. Was just about to accept life without ever using the word “I” anymore.,"@118365 We want to take a look into this with you. DM us your current iOS version, and we’ll start there. https://t.co/GDrqU22YpT",3,keyboard_input,high,Customer reports the same letter 'I' typing problem.
34,Okay I thought it was just my phone fix this shit with the letter EYE,@123990 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,3,keyboard_input,high,Customer cannot type the letter 'I' correctly.
35,hey @115858 get ur shit together so i can type “i” without this stupid problem https://t.co/43iHbkJK6K,@130490 We're here for you. Please DM us the version of iOS you're using and we can go from there together. https://t.co/GDrqU22YpT,3,keyboard_input,high,Typing the letter 'i' causes incorrect autocorrect behavior.
36,Why does my iPhone randomly capitalise letters? iOS,"@136074 We'd love the chance to look into this with you. Which iOS version are you using on your iPhone? Also, could you give us an example of when you're seeing letters being capitalized?",3,keyboard_input,high,iPhone randomly capitalizes letters while the customer is typing.
37,For those that have been wondering. why are y’all punishing us for using pronouns!?,@123676 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,3,keyboard_input,medium,"Message refers to a typing/pronoun issue, but the exact technical problem is somewhat implicit."
38,whenever I type the letter “i” it auto corrects to a “a ?” What is going on!????,@123062 Let us help you get this sorted out. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,3,keyboard_input,high,The letter 'i' is automatically changed while typing across multiple apps.
39,"The only keyboard I have is whatever my iPhone came with. It’s occurring in everything: messages, social media, emailing ect.",@118366 We'd like to take a closer look. Send us a DM and we can start there. https://t.co/GDrqU22YpT,3,keyboard_input,high,Autocorrect inserts a period while the customer is typing.
40,"i.t really sucks that every time i go to type the word i.t, i.t autocorrects so there’s a stupid ass period in the middle of i.t. @115858 what is going on",@134162 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,3,keyboard_input,high,"Autocorrect changes text while typing, specifically inserting a period into the word 'i.t'."
41,Thanks! But it used to be so nice when I could limit the number of episodes downloaded but still have some pre-downloaded for flights n things. Is the setting coming back?,"@121033 While we don't have a direct answer for you today, we’d encourage you to leave feedback at:
https://t.co/9WSVjlVyvt",4,apps_app_store,high,Customer asks about an app-related setting for controlling downloaded episodes.
42,thanks. I read the document & as it is a 3-series watch I’ve checked the settings as instructed - they were set correctly Do I need to go through the recalibration process as per a 1-series watch? Why doesn’t Health app just point to same XML field as Activity app?,@136062 Thank you for those details. Have you restarted both your iPhone and your Apple Watch since noticing this? DM us and let us know. https://t.co/GDrqU22YpT,4,other_unclear,high,Apple Watch and Health XML-field issue does not clearly fit the current taxonomy.
43,I have not installed any new appliaction. Anyway automatic application updates are enabled so I cannot determine which of the ones that were installed today might be coincident with the exact time frame when the issue appeared.,@142511 Got it. Let's look into this further via DM. Let us know if you're able to access the Control Center preferences via Settings. https://t.co/GDrqU22YpT,4,other_unclear,high,"Customer provides context about automatic app updates, but the actual support problem is not clearly stated."
44,I need your help! I want to play animal crossing but the app immediately crashes when I open it,"@128371 We want to make sure you are able to play the games you'd like. In order to assist you, we need some information from you. What kind of device are you using? What version of the software is installed? Meet us with this information, here: https://t.co/GDrqU22YpT",4,apps_app_store,high,Animal Crossing crashes immediately when the customer opens the app.
45,"It’s become too slow ,apps not working properly",@125183 Let's get you back to enjoying your device. What kind of Apple device are you using? https://t.co/GDrqU22YpT,4,performance_freezing,high,Main complaint is that the device has become slow; app problems are secondary.
46,Does anyone EVER get Apple’s ‘reading list’ to work offline in Safari? What a load of old . Any alternatives that work?,@124688 We'd love to look into this with you. Tell us what happens while trying to access your Reading List while offline.,4,apps_app_store,high,Customer is asking about Safari Reading List functionality while offline.
47,i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,@117459 Thanks for reaching out to us. We're happy to help out. We recommend checking out this link: https://t.co/03O2CionXW,4,other_unclear,high,Time Machine and system storage usage does not clearly fit the current support taxonomy.
48,My husband hasn’t updated his MacBook since like 2011... do you think I could update it and be safe?,"@123974 As long as his Mac is compatible, it shouldn't be a problem. Be sure he has a backup. https://t.co/109nnHwfMC",4,apps_app_store,high,Customer cannot complete an upload through a social-media app.
49,When i go to upload to social media with a slo-mo or screen shotted picture i am getting a loading circle in the middle of the screen and it never finishes loading. Doesnt allow upload to complete,"@139254 Thank you. Does the issue persist if you restart your device? Also, which software version are you using? You can tap Settings &gt; General &gt; About to locate the software version.",4,software_update,high,Customer explicitly connects the problem to a software update.
50,all of a sudden I am getting emails pushed via apple mail- I’ve had them set as fetch for a long time. Can’t find where to change back to fetch. The only change I have made is software update. HALP! I don’t want all these to push.,"@122014 We can understand not wanting the incoming emails to push through. We'll get to the root cause of this, and find you the information you need.

In order to do so, we have some questions for you. Please meet us in DM with your current iOS and we'll go from there. https://t.co/GDrqU22YpT",4,software_update,high,Customer says the Apple Mail behavior changed after a software update.
51,"Depende como responda esto perderán un cliente (+familia) y prescriptor desde hace más de 15 años, usuario de toda la gama",@124301 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,other_unclear,high,Customer expresses dissatisfaction but does not state a specific technical support problem.
52,"leg dit even uit? Dit is mijn oud e-mail adress/apple id, sinds een recente update krijg ik constant deze melding. Ik heb sinds paar jaar een nieuw e-mail adres en ook een apple id op dit adres. Ik was (nog altijd) het wachtwoord kwijt van het oude e-mail & apple-id",@138153 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,5,apple_id_icloud,high,"Customer discusses an old Apple ID, old email address, and a forgotten password."
53,cuando vais arreglar el problema de la batería con vuestras actualizaciones de IOS? Es de vergüenza,@124305 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,battery_power,high,Customer explicitly complains about battery problems caused by iOS updates.
54,Soy sólo yo...o a ustedes también les pasa que a toda hora se les enciende el WIFI del teléfono desde la nueva actualización del iOS ?,@142165 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,connectivity,high,Customer reports that Wi-Fi keeps turning on after a new iOS update.
55,"Ongelofelijk dat een MacBook Pro al na 2,5 jaar kapot gaat. Als antwoord krijg je dan alle kosten inclusief reparatie zijn voor eigen kosten. Terwijl de winkel al zegt u kan er niks aan doen dat hij stuk is. slechte service apple geenservice macbook pro",@140684 We offer support via Twitter in English. Contact an Advisor for help in your preferred language here: https://t.co/IBIY3vMgPj,5,device_hardware,high,Customer reports a MacBook Pro hardware failure and discusses repair costs.
56,E eu não recebo notificação de nenhum aplicativo,"@138173 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",5,other_unclear,high,"Customer reports missing app notifications, which does not clearly fit the current taxonomy."
57,"Klucííí... z @115858, co mi to děláte? Safari s #iOS 11.1 na #iPhone8Plus neustále padá 📲🕳 chápu, je podzim 🍏🍂...ale tohle nebaví! 🤨 #Fail",@123840 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,5,performance_freezing,high,Customer reports Safari repeatedly crashing on iOS 11.1.
58,@115858 Estoy muy decepcionado con la calidad de la compra online. Despues de esperar tanto tiempo para el IPhone X + AppleWatch teneis problemas con el sistema de pago. Muy muy decepcionado !!! Espero que esto no afecte a la fecha de entrega de mi pedido!!!,@138716 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,other_unclear,high,"Customer is discussing an online purchase, payment system, and delivery timing, which are outside the current taxonomy."
59,Desde que actualice a iOS 11 mi iPhone se volvió lento. Me recuerda a los viejos Samsung! Que está pasando?,@127761  We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,performance_freezing,high,Customer reports that the iPhone became slow after updating to iOS 11.
60,"Bienvenida sea la multi tarea al 3D touch en iphone, gracias newupdate",@117646 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5,other_unclear,medium,Customer mentions multitasking and 3D Touch positively but does not describe a specific support problem.
61,how can i reset security questions? i face this error: We don't have sufficient information to reset your security questions.,@124485 We'll need to refer you here for help with your Apple ID:  https://t.co/UJm15vmMM2,6,apple_id_icloud,high,Security questions are part of Apple ID account recovery and security.
62,Yeah I actually just fixed it by tapping the top of the phone above the camera. Works fine again! Thanks!,@140212 Excellent! You're welcome. Have a great day!,6,device_hardware,medium,Customer asks about a hardware test and reports that physically tapping the phone restored normal behavior.
63,I’ve tried trashing Bluetooth prefs - but this didn’t help. Could you please explain how to run the hardware test?,"@139271 Absolutely, there are a few steps involved. Are you able to open the article we previously sent? If so, the steps are there. If you have any issue viewing the article send us a DM with the link below and we'll provide them for you. https://t.co/GDrqU22YpT",6,connectivity,high,Customer is troubleshooting a Bluetooth-related problem and has already tried removing Bluetooth preferences.
64,Update: still resets phone even after removing and reinstalling.,"@136097 We appreciate the update. Just to be sure that we're on the same page, is your iPhone restarting while you're using any other apps? Please send us a DM with the results. https://t.co/GDrqU22YpT",6,performance_freezing,high,Customer reports that the phone continues to restart/reset even after reinstalling.
65,How do I get rid of this notification?,@118244 Let's see how we can help. Is that the message you see when trying to swipe the notification and get to the app?,6,other_unclear,high,Customer asks about removing a notification but does not provide enough detail to map it to the current taxonomy.
66,Once I removed two step authentication it all went back to normal - thanks for responding,@125180 We're here to assist if you need assistance in the future.,6,apple_id_icloud,high,"Customer reports that removing two-step authentication resolved the problem, indicating an account security issue."
67,My laptop’s doing this again,@143056 We want to help. Let's continue in DM. https://t.co/GDrqU22YpT,6,other_unclear,high,Customer says the laptop is doing something again but does not describe the actual problem.
68,That worked. Thank you.,@122925 You're very welcome. Please let us know if there's anything else we can do for you.,6,other_unclear,high,Customer only confirms that a previous solution worked and does not state the original problem.
69,Its slowing down my mac a lot,"@117459  Is 25 GBs what you have left after the snapshots were created on the drive though? Or, were you low on space prior to snapshots?",6,performance_freezing,high,Customer reports that the Mac has become significantly slower.
70,"Update to latest version,did the restart thing but still no vibrate at all when notifications coming",@122940 Let's look into this some more. Send us a DM and let us know anything else you have tried as well as the country you're in. https://t.co/GDrqU22YpT,6,other_unclear,medium,"Customer reports missing notification vibration, which is outside the current taxonomy; the update is context rather than the primary issue."
71,"Battery life awful, iOS 11.2, iPhone X","@141455 We’d love to help with your battery life. To start, please send us a DM. https://t.co/GDrqU22YpT",7,battery_power,high,Customer explicitly reports very poor battery life on iOS 11.2.
72,"I have a 6 Plus, everyone that I have talked to has been having the issues that he mentioned since the iOS 11 updates. My battery life is terrible now, my cursor/screen freezes & jumps around while I’m typing & I have to do a hard reset every couple of days.","@144218 We expect you to have a great experience running the latest version of iOS, 11.1.2, on your iPhone 6 Plus. Send us a Direct Message, and we'll work together to investigate the behaviors you're running into, so we can offer the best solution. https://t.co/GDrqU22YpT",7,battery_power,high,Main complaint is severe battery drain after the iOS 11 update; freezing and typing issues are secondary.
73,"So I accidentally did the new @115858 update,cause it kept popping up on my screen,n now battery is at 39% after charging all night n went down to 30% in literally 15seconds of use..... WTF?!","@135638 We certainly understand how important a good battery life is. We'd be happy to look into this further with you. 
Which device are we working with? Shoot us a DM and let us know. https://t.co/GDrqU22YpT",7,battery_power,high,Battery loses charge extremely quickly after the customer installed a new update.
74,Even i have the battery drain issues since updating to iOS 11. Not even any better on iOS 11.1,"@124883 Battery life is important, so we'd like to help. Let us know in DM when this started happening. https://t.co/GDrqU22YpT",7,battery_power,high,Customer explicitly reports battery drain after updating to iOS 11.
75,you new update is crap it just drains the battery. 100%full 5 mins late 88%,"@135084 That's certainly not how we want the battery to be working for you. Let's work together. To start, DM us the device you're using and how many times you charge the device on a daily basis. https://t.co/GDrqU22YpT",7,battery_power,high,"Battery drops from 100% to 88% within minutes, indicating severe battery drain."
76,"Hey 11.2.1 is killing my battery- big time. iPhone 6s+ I used to make it to 3 pm and still have 80%. I’m below 40 already (3:15). And no, I don’t use the app.",@141087 Thanks for contacting us. We know how important battery life is. We'd be happy to help in any way we can. Let's meet in DM to troubleshoot together. https://t.co/GDrqU22YpT,7,battery_power,high,Customer reports unusually rapid battery drain on an iPhone 6s Plus.
77,"My 6s starts as expected at 100% use it for 5 minutes and it needs recharged, really infuriating",@142823 We'd like to look into what's happening on your iPhone. Could you join us in DM to get started? https://t.co/GDrqU22YpT,7,battery_power,high,Customer reports needing to recharge the phone after only a few minutes of use.
78,"my iphone 6s is rendered two 2 hours. Drained battery, killed all non used apps and still two hours. newiosblows",@123705 Let's look into what's happening together. Send us a DM telling us the country you're located in to begin. https://t.co/GDrqU22YpT,7,battery_power,high,Customer reports severe battery drain even when the phone is not being used.
79,Please help. My mom's iPhone 6s Plus' battery drains so fast even without using it. It happened after she updated to iOS 11.1.2.,@130909 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this issue with you there. https://t.co/GDrqU22YpT,7,battery_power,high,Customer reports that the iPhone battery drains extremely quickly.
80,Why are all my Apple gadgets slowing down all of the sudden,@135578 We want to help. What do you mean by gadgets?,7,performance_freezing,medium,"Customer reports that Apple devices have suddenly become slower, with no specific battery complaint."
81,Always wait. I stupidly didn't. Same problem. @115858 https://t.co/HyqLZTzDbr,@136059 We're here to help. Click here to meet us in DM and we'll do everything that we can to get this sorted with your battery life. https://t.co/GDrqU22YpT,8,battery_power,medium,"Customer says they have the same problem, and the support response identifies the issue as battery life, but the customer message itself provides limited detail."
82,@126993 @115858 Even this tweet has the error 🙄. Fix it https://t.co/VRGWHCCsQF,@126992 We'd be happy to look into this with you. Send us a DM and we can start there. https://t.co/GDrqU22YpT,8,other_unclear,high,Customer reports an error but does not explain what the error is.
83,@116346 @115858 @115714 Yes a legit nothing fixes it for me,@128775 We'll be happy to look into this issue for you concerning you device. Please shoot us a DM. -AS,8,other_unclear,high,Customer says nothing fixes the problem but does not identify the underlying issue.
84,"It’s been a few days since @115858 made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",@116336 Hi there! iOS 11.1 was released earlier today containing some bug fixes. Let's back up and update: https://t.co/80YRnjDFDk,8,software_update,high,"Customer is discussing iOS versions, updating, and a security problem with the newer update."
85,Sorry Twitter won't let me DM you because I refuse to give my phone number to a company that cannot safe guard data. I'm on 11.1.1 and refuse to upgrade to 11.1.2 because of the huge security flaw.,"@128527 We'd like to help you out. If you can't DM, there are other support options here:

 https://t.co/IBIY3vMgPj https://t.co/GDrqU22YpT",8,other_unclear,high,Customer mentions a bug but does not provide enough information to identify the affected feature or problem.
86,my phone’s updated tho 🤔 what kinda bug is this @115858 fix it https://t.co/g3DalWEd91,@139265 We're here to help find the best solution. Can you send us a DM with detials on what you're referring to? https://t.co/GDrqU22YpT,8,device_hardware,high,"Customer reports that fingerprint/Touch ID has never worked, indicating a device-level biometric issue."
87,@143278 The fingerprint has never worked for me either! C’mon @115858 Fix it!...,"@143277 Hey, let's meet up to discuss any issues you're having with your Apple products today. Here's a link to discuss this in DM: https://t.co/GDrqU22YpT",8,keyboard_input,high,Customer explicitly refers to the 'I.T' typing/autocorrect problem.
88,@115858 this “I.T” thing gonna be fixed any time soon....,@136611 We can help. Let's work on this together. Send us a DM. https://t.co/GDrqU22YpT,8,keyboard_input,high,The issue is related to keyboard behavior and typing; the support response also directs the customer to keyboard settings.
89,@115858 ever since the update I’ve been experience some difficulties #Typical #MylastIphone https://t.co/BeCpD21A2D,"@136633 We appreciate you reaching back out. Are you able to adjust your keyboard using the steps in the ""Turn on one-handed typing” section of this article? https://t.co/tWyRHFS2AX Also, approximately how often do you experience that behavior with the lock screen?",8,other_unclear,medium,Customer says they have experienced difficulties since an update but does not clearly state what the problem is.
90,"@115858 trying to cancel an online order, each time I login i'm told I don't have access to the order.",@122933 Hello. Our Sales Support team will be happy to assist you with this issue here: https://t.co/RmFSlCBcIE,8,other_unclear,high,"Customer is asking about cancelling an online order and accessing order information, which is outside the current technical-support taxonomy."
91,"Hi there, my iPhone 6S plus can’t do backup for it, not by iCloud and iTunes , any way to fix it ,thanks",@123977 We'd love to help. What happens when you try back up via iTunes?,9,other_unclear,high,"Backup failure is not covered by the current taxonomy, and the message does not identify a specific supported intent."
92,"how come @115858  that is suppose to be a top tech company, cant manage to create an update that doesn't make my iphone slower, and freezing constantly after updating it? my iphone version is only one from the last, and i have enough memory left... $ not worth",@122015 We can help with iPhone performance. What device are you currently using? We'll help get that resolved.,9,performance_freezing,high,Customer explicitly reports the iPhone becoming slower and freezing after an update.
93,My worst fear came true... my iPhone alarm isn’t working and never went off this morning,"@121044 Hello. We are here to help. Has this happened previously. Also, what is your iOS version?",9,other_unclear,high,Alarm failure is a specific issue but does not fit the current 10-intent taxonomy.
94,Did the latest update. Problem continues when I FaceTime my wife. She has the same issues on her end as well. Both phones were already restarted and it didn’t fix the problem,"@143489 Thanks so much for reaching back out! So we can look closer into this with you, reach out to us in DM using the link below and we'll continue from there. https://t.co/GDrqU22YpT",9,connectivity,medium,"FaceTime is failing on both phones even after restart, suggesting a communication/connectivity problem, although the exact cause is unclear."
95,"Overnight my messages in my iPhones be have changed and are not recognising my contacts?? What’s going on Please advise, this is ridiculous the amount of issues happening!","@142193 Thanks for reaching out. We'd like some additional information to help. Are the messages showing out of chronological order? Also, when you state your contacts aren't recognized are you missing contact information? Let us know the details in a DM and we'll continue. https://t.co/GDrqU22YpT",9,other_unclear,high,"Messages and contacts are behaving incorrectly, but this does not clearly fit the current taxonomy."
96,Is it still possible to install IOS 10.3.3 on iPhone 6s?,@140656 You should be able to update your iPhone to the latest version of iOS 11 actually. Find out more online here: https://t.co/80YRnjDFDk DM us if you have any questions. https://t.co/GDrqU22YpT,9,software_update,high,"Customer is asking whether iOS 10.3.3 can be installed, making software version/update the main topic."
97,A few hours ago...I’m on WiFi at a restaurant cellular connections not good enough,@136594 Are you able to access other Internet-based content while connected to the restaurant Wi-Fi?,9,connectivity,high,Customer specifically mentions Wi-Fi and cellular connectivity problems.
98,"Can't update iPhone software, restarted phone and reconnected internet still not working",@127218 Let's look into this together. Which model of iPhone are you using? Here's a great guide to help: https://t.co/Ui1yTnOCUz,9,device_hardware,high,Customer reports a physical display/screen quality problem on a newly received iPhone.
99,Just received new unit of iPhone X. First had horrible yellow screen and this is even worse. Is gonna finally admit that the some screens are not as good as they claim to be? Apple iPhoneX,@135591 Congratulations on your new iPhone! Let's get to the bottom of what's going on. Please send us a DM with your country and we can get started there. https://t.co/GDrqU22YpT,9,battery_power,high,Battery usage increased from once to three charges per day after the update.
100,IOS new update have some problems. Have to charge the phone 3 times a day. Before it was just once.,@127404 We understand how important battery life is. What is the exact version you updated to? https://t.co/ZTw54HL4Rm,9,battery_power,high,Customer explicitly reports needing to charge the phone three times a day after the new iOS update.
101,why is my phone acting up saying im out of storage? How do I go from 60gb then delete Spotify(3gb) and end up with 59gb,"@128495 Let's work on this together. When you get the message about storage, is it referring to your iCloud Storage?",10,other_unclear,high,Storage-management problem does not clearly fit the current taxonomy; the message does not establish that iCloud/account access is the main issue.
102,"Ok, I have a $4.99 student account w/Apple Music but just realized some days ago they've been charging me da 12.99 family plan @115858 fix it",@128695 Thanks for reaching out. For billing issues with Apple Music reach out to our iTunes Store Support: https://t.co/SDIe7UiyJN,10,apple_music,high,Customer is reporting an Apple Music subscription and billing issue.
103,how do I cancel my Apple music trial there is no option to?,"@135646 Check out this article, it will provide the steps to cancel a subscription: https://t.co/YKDbvueXrq",10,apple_music,high,Customer wants to cancel an Apple Music trial.
104,I keep getting this error message saying “the item can’t be played” and idk how to fix it...,@116348 We'd like to look into this with you. Does the song appear to be greyed out?,10,apple_music,high,"The customer reports that a music item cannot be played, making this a music playback problem."
105,"apple music got renewed a couple of days ago, but unable to access it right now",@127594 We want to help you get back to enjoying your Apple Music! Which device are you accessing it on? Do you get an error message?,10,apple_music,high,Customer's Apple Music subscription was renewed but the service cannot be accessed.
106,"Pandora was playing, then suddenly the apple logo appeared and Pandora stopped and a few seconds later I had to type in my passcode to unlock the phone. I found all my open apps backgrounded but I had to forground Pandora and it started playing again.","@142505 Are all of your apps up-to-date if you connect to Wi-Fi and check in its App Store &gt; Updates section?

How many times has this occurred?",10,performance_freezing,high,"The phone appears to restart or crash unexpectedly, causing apps to be backgrounded and requiring the passcode again."
